address,city,lat,lng,pets,agent_name,brokerage_name,state,building_name,city_state,amenity_tags,building_amenity_tags,date_available,max_price,min_price,max_bedrooms,min_bedrooms,max_bathrooms,min_bathrooms,floorplan_count,min_lease_days,max_lease_days,min_square_feet,max_square_feet,zipcode,max_all_bathrooms,min_all_bathrooms
1650 Granville Street #1205,Halifax,44.64654719999999,-63.5732319,"[1, 2, 3]",Meng Li,,NS,,halifax-ns,"['Outdoor Space', 'Hardwood Floor', 'Furnished', 'Garden', 'Air Conditioning', 'Onsite Laundry', 'Balcony', 'Central Heat', 'Walk-in Closet', 'Fitness Center', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['Onsite Laundry', 'On-Site Management', 'Concierge Service', 'Fitness Center', 'Package Service', 'Residents Lounge', 'Dry Cleaning Service', 'Garage Parking', 'Swimming Pool', 'Storage', 'Business Center', 'Door Person', 'Roof Deck', 'Outdoor Space', 'Controlled Access', 'Wheelchair Accessible', 'Elevator']",2024-03-01,3300,3300,2,2,2,2,1,,,743,743,B3J 1X1,"[2, 0]","[2, 0]"
12 Palmer Hill Road,Halifax,44.6412758,-63.630143299999986,"[1, 2]",Kirke Mitchell,Re/Nat Home Renters,NS,,halifax-ns,,,2024-03-01,3995,3995,3,3,3,3,1,,,3500,3500,B3N 1S5,"[3, 1]","[3, 1]"
5278 South Street #B3,Halifax,44.6393561,-63.5724385,"[1, 2]",365 Experience,365x,NS,,halifax-ns,['Furnished'],,2024-02-20,1500,1500,0,0,0,0,1,,,400,400,B3J 1A4,"[0, 0]","[0, 0]"
5278 South Street #A2,Halifax,44.6393561,-63.5724385,"[1, 2]",365 Experience,365x,NS,,halifax-ns,['Furnished'],,2024-03-11,1500,1500,0,0,0,0,1,,,400,400,B3J 1A4,"[0, 0]","[0, 0]"
5571 North Street #4,Halifax,44.6565385,-63.5926181,[3],365 Experience,365x,NS,,halifax-ns,"['Balcony', 'In-Unit Laundry', 'Dishwasher']",,2024-03-02,2800,2800,2,2,1,1,1,,,750,750,B3K 1N1,"[1, 0]","[1, 0]"
3066 Agricola Street #2,Halifax,44.6599367,-63.6002486,"[1, 2, 3]",365 Experience,365x,NS,,halifax-ns,,,2024-03-08,1695,1695,0,0,0,0,1,,,470,470,B3K 4G1,"[0, 0]","[0, 0]"
6121 North Street #Top,Halifax,44.6535454,-63.5967358,[],365 Experience,365x,NS,,halifax-ns,,,2024-02-20,2800,2800,2,2,1,1,1,,,750,750,B3K 1P2,"[1, 0]","[1, 0]"
1404 Seymour Street #602,Halifax,44.63826479999999,-63.58917469999999,[],Nadeem Zawaideh,,NS,,halifax-ns,"['Hardwood Floor', 'Furnished', 'Central Heat', 'Fitness Center', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['On-Site Management', 'Fitness Center', 'Residents Lounge', 'Garage Parking', 'Storage', 'Controlled Access', 'Wheelchair Accessible', 'Elevator']",2024-05-01,950,950,5,5,2,2,1,,,1178,1178,B3H 3M6,"[2, 0]","[2, 0]"
5252 Tobin Street #603,Halifax,44.6388345,-63.571489,[],Kamran Rahmani,,NS,,halifax-ns,"['Hardwood Floor', 'Central Heat', 'Onsite Laundry', 'Balcony', 'Walk-in Closet', 'Dishwasher']","['Onsite Laundry', 'On-Site Management', 'Garage Parking', 'Controlled Access', 'Elevator']",2024-04-01,1750,1750,0,0,1,1,1,,,450,450,B3H 4K2,"[1, 0]","[1, 0]"
76 Bedros Lane,Halifax,44.7006226,-63.66443959999999,"[1, 2]",Kirke Mitchell,Re/Nat Home Renters,NS,,halifax-ns,"['Outdoor Space', 'Hardwood Floor', 'Central Heat', 'Balcony', 'Fitness Center', 'Walk-in Closet', 'Assigned Parking', 'In-Unit Laundry', 'High Ceilings', 'Dishwasher']","['On-Site Management', 'Fitness Center', 'Residents Lounge', 'Garage Parking', 'Storage', 'Outdoor Space', 'Controlled Access', 'Wheelchair Accessible', 'Elevator']",2024-03-01,2800,2800,3,3,2,2,1,,,2000,2000,B3M 4X2,"[2, 0]","[2, 0]"
15 Knightsridge Dr,Halifax,44.67024717111783,-63.66217609441197,[],Don Chamara,Keller Williams Select Realty,NS,,halifax-ns,"['Balcony', 'In-Unit Laundry', 'Dishwasher', 'Onsite Laundry']","['Onsite Laundry', 'Storage']",2024-04-01,2400,2400,2,2,0,0,1,,,1100,1100,B3M 3S9,"[0, 1]","[0, 1]"
1465 Brenton Street #1003,Halifax,44.64194140000001,-63.5781728,[],George Edwards,,NS,,halifax-ns,"['Outdoor Space', 'Hardwood Floor', 'Garden', 'Fitness Center', 'In-Unit Laundry', 'Dishwasher']","['On-Site Management', 'Fitness Center', 'Residents Lounge', 'Garage Parking', 'Storage', 'Roof Deck', 'Outdoor Space', 'Controlled Access', 'Elevator']",2024-02-01,2200,2200,1,1,2,2,1,,,1036,1036,B3J 1H1,"[2, 0]","[2, 0]"
2438 Gottingen Street,Halifax,44.6556556,-63.58929699999999,[],365 Experience,365x,NS,,halifax-ns,,,2024-02-01,2595,2595,3,3,1,1,1,,,900,900,B3K 3B9,"[1, 0]","[1, 0]"
5678 Morris Street,Halifax,44.639892,-63.5778481,[3],365 Experience,365x,NS,,halifax-ns,"['Furnished', 'In-Unit Laundry']",,2024-02-01,1795,1795,0,0,1,1,1,,,450,450,B3J 1C5,"[1, 0]","[1, 0]"
4 Winona Cres,Halifax,44.67849576754946,-63.65504995221827,[],Leslie Zhang,Keller Williams Select Realty,NS,,halifax-ns,['In-Unit Laundry'],"['Garage Parking', 'Outdoor Space']",2024-01-21,2800,2800,2,2,0,0,1,,,2211,2211,B3M 1Z1,"[0, 0]","[0, 0]"
1650 Granville St #2106,Halifax,44.6459438345459,-63.572763336899875,[],1650 Granville Street,Anchor Property Management,NS,,halifax-ns,"['Jogging and Walking Trails', '24 Hour Availability', 'Package Service', 'Recycling', 'Free Weights', 'Guest Room', 'Car Wash Area', 'Concierge Service', 'Garage Parking', 'Library']","['Concierge Service', 'Fitness Center', 'Package Service', 'Garage Parking', 'Swimming Pool', 'Elevator', 'High-Speed Internet', 'Free Weights', 'Car Wash Area', 'Guest Room', 'Library', 'Recycling', '24 Hour Availability', 'Jogging and Walking Trails']",2023-09-01,5500,5500,3,3,2,2,1,,,9223372036854775807,-1,B3J 0E1,"[2, 1]","[2, 1]"
12 Juniper Cres,Halifax,44.59511269527081,-63.63542923089832,[],Glenn Cox,EXP Realty of Canada Inc,NS,,halifax-ns,"['Outdoor Space', 'Hardwood Floor', 'Onsite Laundry', 'Fireplace', 'In-Unit Laundry', 'Dishwasher']","['Onsite Laundry', 'Outdoor Space']",2024-01-22,3600,3600,4,4,0,0,1,,,1560,1560,B3R 2H4,"[0, 1]","[0, 1]"
